1.178768634793587733e-01 1.205355362438073896e-01 -2.120192087468792952e+00 4.841343078781188858e+00 4.703624846324250819e-01
1.637893706954064721e-01 1.674713554792442438e-01 -1.791329379071787242e+00 3.934636405363672651e+00 3.153818531356291088e-01
2.275845926074789582e-01 2.326685367752655553e-01 -1.462529579856788997e+00 2.706794578350726344e+00 1.930579499214981343e-01
3.162277660168380522e-01 3.234336332831124206e-01 -1.133142857022293226e+00 2.477150658345944390e+00 1.384763788337936563e-01
4.393970560760793176e-01 4.492652738692699543e-01 -8.044934924165499934e-01 1.534532572667088202e+00 9.689509319920347474e-02
6.105402296585331623e-01 6.242739078185337576e-01 -4.755209992723951617e-01 9.374198518503535915e-01 6.997723920520988738e-02
8.483428982440722743e-01 8.674394556116897803e-01 -1.465550849084372442e-01 5.626900330907539383e-01 4.935126753275483058e-02
1.178768634793587955e+00 1.205224873363532900e+00 1.823496008617906949e-01 3.124409738519671187e-01 3.404044968839013696e-02
1.637893706954064887e+00 1.674547584817062784e+00 5.112616214176582963e-01 2.624034028280212150e-01 2.257580334106540354e-02
2.275845926074789194e+00 2.326557813343439030e+00 8.401685858423003639e-01 1.310272202730671798e-01 1.850323561016099794e-02
3.162277660168381299e+00 3.232981980368306196e+00 1.169258055815742603e+00 7.011893448162635767e-02 1.372014112992396562e-02
4.393970560760792843e+00 4.492722134696764513e+00 1.498390060428879567e+00 8.673576903119080417e-02 1.066307277821452147e-02
6.105402296585329402e+00 6.244450218728882618e+00 1.827682075915960436e+00 6.204044863101329521e-02 8.398889530530367561e-03
8.483428982440724297e+00 8.679099831024901235e+00 2.156922960621380447e+00 5.500666827197919773e-02 6.981338750586174938e-03
1.178768634793588355e+01 1.206188638290329784e+01 2.486027781781265045e+00 4.979163195989562418e-02 5.308176606008654236e-03
1.637893706954064399e+01 1.676029675436013378e+01 2.814920859809619813e+00 4.389162561540708996e-02 4.780748115610525088e-03
2.275845926074789460e+01 2.328502332309325951e+01 3.143604626335671615e+00 3.389635947603429622e-02 4.132296048596418268e-03
3.162277660168381743e+01 3.234317125641599233e+01 3.472083512055689880e+00 2.546898692790531757e-02 3.948831168237619885e-03
4.393970560760791955e+01 4.491791412933032035e+01 3.800468559576700489e+00 1.625576137186930323e-02 3.421189458591583372e-03
6.105402296585331356e+01 6.239502784095900978e+01 4.129102235806334953e+00 1.189384116624545712e-02 3.225564473204131470e-03
8.483428982440726429e+01 8.667727774253454243e+01 4.457806157925015889e+00 3.998756725480940091e-03 2.998411777977758909e-03
